IMU(666446,-107,-31,301,16138,142,-16070,29174,538,-2412,1234,16915).
IMU(666547,-63,12,307,15323,-6393,-426,28917,266,-7,2429,16696).
IMU(666648,-41,67,303,17061,-24306,315,29175,1415,-375,3789,16791).
IMU(666749,1,51,304,16755,-14553,7766,29174,1146,1564,3632,16760).
IMU(666850,27,39,301,17000,10119,7766,29174,1145,1351,3477,17111).
IMU(666951,22,48,307,15318,1927,15958,29174,854,1043,3894,16451).
IMU(667052,-20,17,308,16227,-8050,315,29174,830,1832,3389,16106).
IMU(667153,-22,117,308,16484,16654,16699,29045,1122,822,4881,16496).
IMU(667254,-4,52,309,15499,16654,8507,29173,245,1841,3202,16112).
IMU(667355,-5,-31,303,15454,-8050,-16070,29045,-339,782,1432,16589).
IMU(667456,89,9,299,16087,16398,-7877,29173,538,3042,1732,17109).
IMU(667557,-25,45,303,16153,270,8507,29045,538,465,3773,16817).
IMU(667658,-56,25,302,16462,-16114,8507,29174,245,278,2571,16947).
IMU(667759,-12,-71,301,15586,-7922,-32453,29302,538,617,1031,16941).
IMU(667860,-2,13,302,15487,142,315,29175,245,699,2278,17093).
IMU(667961,44,12,302,16201,-6201,7637,29174,854,1738,2530,17026).
IMU(668062,17,21,305,16610,1991,7766,29047,1141,1586,4033,16489).
IMU(668163,0,21,305,16546,-8050,315,29174,830,372,2670,16616).
IMU(668264,-84,22,302,16792,-14489,7638,29047,1147,-1346,2887,17048).
IMU(668365,-47,3,314,16057,1831,-8618,29174,1142,835,2426,16490).
IMU(668466,37,47,305,16837,270,-16069,29174,830,1855,3222,17367).
IMU(668567,-33,29,314,15891,-16242,8507,29173,1122,1286,3796,16101).
IMU(668668,9,41,306,16135,-8050,8507,29174,538,1748,3476,16612).
IMU(668769,61,83,309,16122,6857,10743,29173,845,2573,4106,16279).
IMU(668870,44,48,312,15125,-7922,315,29045,-46,2006,3555,16251).
IMU(668971,75,38,307,16083,-7922,314,29044,538,1909,2625,15954).
IMU(669072,52,20,298,16051,8334,315,29174,830,2043,2058,17193).
IMU(669173,-31,8,303,17050,-16114,-7877,29172,245,-486,1929,17205).
IMU(669274,1,-20,303,15888,-6489,-8618,29047,563,862,2247,17109).
IMU(669375,-47,2,301,16778,-24306,-16069,29172,830,-449,2197,16939).
IMU(669476,-57,-24,305,16718,270,-24262,29174,1415,631,2335,16248).
IMU(669577,-38,4,305,16433,1927,-426,29302,848,-392,3229,16533).
IMU(669678,-16,3,295,16902,-16114,-32454,29173,1415,-544,1496,17309).
IMU(669779,-10,-51,302,17159,-16114,-7877,29174,1122,608,1865,16407).
IMU(669880,11,28,308,16310,142,-7877,29174,538,1270,3067,16421).
IMU(669981,64,-49,302,16664,8462,-16070,29174,246,2475,983,16879).
IMU(670082,29,-64,304,15696,8334,-24262,29173,-46,2015,2031,16499).
IMU(670183,73,-21,312,16504,-16114,-7877,29173,1122,2010,2222,16044).
