IMU(190029,48,-154,314,16324,8696,-24258,28922,538,1894,-2014,16025).
IMU(190130,-6,-134,313,15217,-15880,-24258,28922,-46,2130,-2183,16214).
IMU(190231,65,-102,310,14884,8696,-7874,28922,246,1965,-1979,16008).
IMU(190332,72,-141,310,15219,7484,-41,28795,274,1948,-2003,16024).
IMU(190433,86,-154,311,15370,5157,-16305,28923,264,2326,-2372,16372).
IMU(190534,25,-110,311,15745,-7688,-24258,28923,-46,2141,-1932,16210).
IMU(190635,-31,-116,312,14821,-17123,-8233,28795,565,1944,-1961,15989).
IMU(190736,46,-21,313,15658,504,16702,28923,246,1929,-1768,16128).
IMU(190837,11,-127,313,15021,16888,-32450,28794,245,1941,-1961,16005).
IMU(190938,-31,-90,308,14803,16888,-16065,28795,-339,933,-2111,16383).
IMU(191039,-38,10,312,15150,-7688,16702,28666,246,1977,-1967,15952).
IMU(191140,47,-100,310,14954,503,318,28923,-46,1931,-2025,15991).
IMU(191241,-6,-105,312,14889,16888,-32450,28923,-46,2370,-2818,16368).
IMU(191342,82,-103,312,14597,8696,-24258,28923,-339,1902,-1727,16193).
IMU(191443,66,-153,311,15412,7484,-8233,28923,565,1970,-2014,16010).
IMU(191544,80,-148,312,15488,-17091,-41,28924,566,1967,-1986,16031).
IMU(191645,28,-49,310,15527,-707,16343,28795,568,1951,-2008,15965).
IMU(191746,59,-138,311,15120,8696,-24258,28923,-46,2161,-2416,16196).
IMU(191847,-65,-86,310,14949,-32264,318,28795,-46,1655,-2090,16377).
IMU(191948,44,-60,312,15304,504,318,28923,538,1896,-2028,16041).
IMU(192049,30,-68,312,15204,504,-7874,28923,246,1962,-2041,15970).
IMU(192150,20,-118,310,15243,504,-24258,28923,-339,1930,-2047,16027).
IMU(192251,-47,-57,310,15123,-15880,-7874,28923,246,1959,-1963,15990).
IMU(192352,85,-139,313,15641,16888,-24258,28922,830,1915,-1982,16032).
IMU(192453,42,-78,312,15541,16888,-32450,28923,538,2113,-2164,16184).
IMU(192554,76,-162,310,15008,16888,-32450,28795,-339,2135,-2404,16192).
IMU(192655,-14,-104,311,14282,-15880,-7874,28923,-339,1663,-2790,16326).
IMU(192756,32,-110,311,15450,-675,-41,28923,274,2129,-2428,16230).
IMU(192857,52,-157,309,15906,504,-32450,28922,830,1942,-2021,15997).
IMU(192958,-15,-91,311,15603,-1951,15984,28922,888,1235,-2784,16320).
IMU(193059,13,-32,310,15636,504,16702,29050,-46,1946,-2054,15960).
IMU(193160,-23,-149,311,15183,7516,-41,28923,274,2126,-2825,16371).
IMU(193261,45,-117,313,15684,8696,-24258,28796,538,1896,-2016,16056).
IMU(193362,37,-89,310,15317,7516,-8233,28922,273,1975,-2033,15982).
IMU(193463,-20,-56,310,15222,7452,16343,28795,566,1971,-1976,15973).
IMU(193564,64,-148,312,15718,8696,-32450,28666,538,1898,-1991,16015).
IMU(193665,42,-76,312,15818,-15880,-32450,28666,830,1898,-1995,15977).
IMU(193766,57,-134,312,16201,8696,-24258,28667,1122,1861,-2013,16043).
IMU(193867,92,-102,313,15184,16888,-16066,28922,-339,1892,-1980,16065).
IMU(193968,53,-45,311,15117,8696,-7874,28795,246,2361,-2851,16316).
IMU(194069,40,-138,313,15173,-707,-41,28924,566,1956,-2021,16010).
IMU(194170,-31,-108,311,15579,8696,-32450,28667,-339,1969,-2001,15981).
IMU(194271,50,-162,311,14599,-5850,-5382,28923,71,1650,-2214,16193).
IMU(194372,-16,-141,313,14682,504,-32450,28922,-339,1936,-2075,16016).
IMU(194473,33,-113,314,14954,8696,-16066,28795,538,1864,-2452,16231).
IMU(194574,78,-151,312,16024,7484,-41,28668,1150,1876,-2004,16026).
IMU(194675,63,-144,311,16314,-707,-8233,28795,1150,1857,-2436,16204).
IMU(194776,23,-101,314,15181,-15881,16702,28923,-339,1885,-2045,15986).
IMU(194877,55,-86,312,15187,16888,318,28795,538,1885,-2021,16038).
IMU(194978,33,-110,312,15830,-675,-8233,28795,1150,1871,-2036,15986).
IMU(195079,22,-33,310,14625,8696,-16066,28796,-339,1913,-2004,15941).
IMU(195180,21,-144,313,16076,8696,-7874,28923,1415,1871,-1778,16162).
IMU(195281,30,-135,313,15555,-7688,-24258,28922,830,1915,-2037,16042).
IMU(195382,61,-133,311,15448,16888,-32450,28794,538,1895,-1983,15988).
